Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
5,4,2,10,5395,A,Ship,medium,M,1
4,3,2,6,5867,F,Ship,medium,F,0
3,4,2,2,5957,D,Ship,medium,M,0
3,1,2,27,2551,D,Ship,medium,M,1
7,5,4,9,1329,B,Ship,medium,M,1
6,2,2,18,3077,C,Ship,low,F,1
4,5,5,7,1380,F,Road,low,M,0
4,1,3,8,4667,D,Flight,low,F,0
6,1,5,57,1784,C,Ship,low,F,1
4,5,2,9,5040,C,Flight,low,M,0
5,1,5,9,1893,C,Ship,medium,F,0
3,3,6,26,1825,D,Ship,low,F,1
6,1,4,7,1260,C,Road,low,F,1
6,1,6,7,4014,A,Road,medium,M,1
3,1,2,9,4316,C,Flight,medium,F,0
3,3,2,5,4269,D,Ship,high,M,1
3,1,2,10,4598,F,Ship,medium,F,0
5,5,3,4,4218,F,Ship,low,M,1
6,1,4,6,1561,A,Ship,low,M,0
5,1,4,6,4852,F,Ship,high,F,0
3,2,5,43,1027,C,Road,medium,M,1
6,4,6,9,5354,D,Ship,low,F,1
5,4,3,53,3172,A,Ship,low,F,1
4,4,2,6,4117,F,Ship,medium,F,1
3,5,3,10,5663,A,Ship,low,F,1
4,5,5,7,1409,B,Ship,medium,F,0
4,3,3,8,4240,B,Flight,medium,M,1
5,1,5,10,5413,F,Ship,low,F,1
4,1,2,23,1689,C,Ship,low,F,1
3,4,4,10,4109,B,Road,low,F,0
5,1,3,5,5146,F,Road,low,M,1
3,1,3,60,2069,A,Ship,high,F,1
4,5,3,6,4449,F,Road,low,F,1
3,4,2,14,2163,F,Ship,low,M,1
4,1,5,10,4018,C,Ship,low,F,1
4,2,5,7,1711,B,Ship,medium,M,1
3,5,3,1,4432,F,Ship,medium,F,0
4,3,5,6,4384,D,Ship,medium,M,0
4,4,5,9,4902,F,Flight,low,F,1
3,2,3,9,4301,B,Ship,medium,F,0
4,4,2,1,5320,F,Ship,high,F,0
4,4,2,3,5692,B,Road,medium,F,1
5,1,5,7,1620,C,Road,low,M,1
5,4,2,8,5885,F,Ship,medium,F,1
5,3,3,38,3669,F,Ship,medium,M,1
3,5,3,8,5272,C,Ship,medium,M,1
5,5,5,2,1657,F,Flight,low,M,0
4,2,4,8,5660,B,Road,low,M,0
5,3,5,10,1170,D,Ship,medium,M,1
5,3,5,2,1630,D,Flight,low,F,1
3,2,3,8,5149,D,Flight,low,F,1
3,4,3,1,4020,D,Ship,low,M,1
5,5,2,31,2000,A,Flight,high,F,1
3,1,4,12,2779,D,Ship,medium,M,1
5,4,5,3,3301,B,Flight,low,M,1
5,1,2,4,4242,B,Ship,low,F,1
3,1,3,5,5898,D,Flight,high,M,1
4,5,2,46,3076,F,Ship,medium,M,1
4,5,3,6,4671,D,Ship,medium,M,1
4,2,2,4,5852,C,Ship,low,M,0
6,3,4,10,1798,A,Ship,low,M,0
4,3,6,6,1704,C,Ship,medium,M,1
3,3,3,5,4888,B,Ship,low,F,1
3,2,2,1,4133,A,Ship,low,F,1
5,5,5,10,1719,F,Ship,low,F,1
3,5,2,56,3711,F,Ship,medium,F,1
5,4,3,23,1132,F,Flight,medium,M,1
5,4,4,57,1613,D,Ship,medium,M,1
4,1,4,7,5459,A,Flight,low,F,1
5,5,2,2,4125,A,Ship,medium,M,1
4,4,3,34,1283,C,Ship,high,M,1
3,2,3,25,2334,F,Road,low,F,1
3,4,3,3,4811,C,Ship,medium,F,0
3,2,7,3,5584,F,Ship,high,M,0
4,2,6,8,1391,B,Road,low,M,1
5,1,3,1,5537,F,Flight,medium,F,0
5,4,3,1,4181,D,Ship,low,F,0
3,5,3,6,5148,F,Ship,low,M,0
4,5,3,49,3914,C,Ship,low,F,1
6,4,5,58,1463,A,Ship,low,F,1
3,3,3,12,1900,D,Flight,high,M,1
4,2,4,2,5503,F,Ship,medium,F,0
3,1,2,25,1848,F,Ship,low,F,1
7,1,4,2,1216,D,Flight,low,M,1
3,1,8,6,5023,F,Ship,high,M,1
4,3,2,3,4862,F,Ship,medium,F,1
5,1,4,2,4615,F,Road,medium,F,0
3,4,3,56,1550,C,Ship,low,M,1
2,1,3,4,4512,B,Ship,low,M,0
6,4,4,4,1244,C,Ship,medium,M,1
4,2,4,62,2307,D,Ship,low,M,1
4,4,2,21,1495,A,Ship,medium,M,1
3,4,3,4,5368,C,Road,low,F,0
5,4,4,5,1184,F,Ship,low,F,1
5,4,5,1,1320,F,Road,medium,F,0
3,3,3,4,5048,F,Ship,low,M,0
3,1,2,44,2651,B,Ship,low,F,1
3,3,2,58,3360,F,Road,medium,F,1
3,2,2,37,2460,F,Ship,medium,F,1
3,3,3,6,5109,F,Road,low,M,0
5,2,2,1,2775,D,Flight,low,F,1
4,1,3,47,3489,A,Road,high,M,1
5,2,5,4,1634,C,Flight,medium,M,0
6,3,3,56,3251,F,Road,low,F,1
4,3,3,5,4712,B,Ship,low,F,1
6,2,4,35,1625,B,Ship,low,M,1
3,2,3,9,4282,C,Ship,medium,M,0
4,2,3,12,3676,C,Ship,medium,F,1
5,3,3,7,4462,D,Road,low,M,1
4,3,3,52,1432,B,Ship,medium,M,1
3,4,3,1,4444,D,Flight,medium,M,1
5,2,2,10,4741,B,Road,high,F,0
5,3,5,6,1192,F,Ship,medium,F,0
4,2,3,27,1639,A,Road,low,F,1
4,4,2,6,5116,F,Ship,low,F,0
4,4,3,1,4194,C,Ship,low,F,1
5,1,4,2,5496,F,Ship,low,M,0
4,4,3,1,4774,F,Ship,low,F,0
5,2,8,5,4751,D,Ship,medium,M,0
3,2,3,48,2792,B,Road,medium,M,1
7,2,5,5,1614,C,Ship,medium,M,0
4,3,2,3,5914,D,Ship,low,M,1
3,2,3,19,1111,B,Ship,low,F,1
4,4,3,5,4892,A,Road,medium,F,0
4,2,5,1,5012,C,Road,low,F,0
4,1,4,5,5570,C,Flight,medium,F,1
5,1,6,8,4944,D,Flight,high,F,1
3,4,4,54,1885,A,Ship,low,M,1
4,5,2,6,5920,F,Ship,medium,M,0
2,3,3,2,5331,A,Flight,medium,M,0
3,4,2,5,4342,C,Road,medium,F,1
3,2,3,1,4997,F,Ship,high,M,1
4,3,3,8,4391,D,Ship,low,M,1
4,1,3,56,1811,F,Ship,low,F,1
4,5,3,52,1741,B,Ship,low,F,1
7,3,5,4,1163,F,Ship,medium,F,1
5,3,3,4,4195,A,Ship,medium,F,0
5,5,4,10,5913,C,Ship,low,F,1
2,3,3,45,1639,C,Road,low,F,1
4,3,3,45,1903,F,Ship,low,M,1
7,5,4,4,1139,C,Ship,medium,M,1
6,3,4,8,1805,F,Flight,medium,F,0
5,1,3,44,3993,B,Ship,medium,F,1
3,1,3,1,1252,B,Flight,low,M,1
4,5,3,5,4913,B,Road,low,M,0
4,5,3,3,1403,F,Road,medium,M,1
4,3,2,2,5431,D,Ship,low,M,0
4,3,4,1,4257,F,Ship,medium,M,0
4,2,3,1,1182,D,Ship,low,M,1
3,5,2,5,4504,C,Ship,medium,F,1
4,3,5,5,1533,C,Road,low,F,1
4,1,5,10,1144,A,Road,medium,F,0
3,1,4,1,5761,F,Ship,medium,F,1
3,4,3,49,3225,D,Road,low,F,1
3,3,4,60,1722,F,Road,low,F,1
3,2,3,5,4304,D,Ship,high,M,1
3,1,8,1,4122,A,Road,low,F,1
4,4,2,6,5942,B,Ship,medium,F,0
6,1,4,7,1758,A,Ship,low,M,0
4,4,5,2,1709,C,Ship,low,F,0
4,2,3,6,4963,F,Road,medium,M,0
4,2,6,2,1712,B,Ship,medium,M,1
7,5,4,10,1166,F,Ship,low,M,1
4,2,3,4,5085,D,Ship,low,M,0
5,2,2,6,4120,F,Flight,medium,F,1
3,3,4,6,4803,A,Ship,low,M,1
3,1,2,61,1509,D,Ship,medium,F,1
6,3,4,8,1925,C,Ship,low,M,0
4,4,3,8,4715,B,Ship,medium,M,1
6,4,4,3,4736,F,Ship,low,M,1
3,1,4,33,2782,F,Road,low,M,1
3,4,2,7,4699,F,Flight,medium,F,1
2,3,3,6,4444,F,Ship,low,M,1
6,2,4,7,1477,A,Flight,low,F,0
4,3,3,10,5305,B,Flight,medium,M,0
3,3,3,64,3103,C,Ship,low,M,1
3,1,3,22,3266,F,Ship,medium,M,1
4,2,2,8,4295,C,Ship,low,F,0
6,1,4,1,1735,D,Ship,low,F,1
5,5,4,9,4208,B,Road,low,F,0
3,2,3,1,5343,C,Flight,medium,M,1
4,4,3,7,5807,C,Ship,low,F,1
2,1,3,24,1119,F,Ship,medium,F,1
3,1,3,4,4965,A,Ship,medium,F,0
4,4,3,5,5399,F,Ship,low,F,0
3,1,2,10,4146,F,Road,low,F,1
4,5,3,23,1785,A,Ship,medium,M,1
3,2,2,1,4334,D,Ship,low,M,0
5,4,2,2,4753,F,Flight,low,M,0
4,4,2,7,4572,F,Road,low,F,1
3,2,2,1,4978,B,Flight,medium,F,0
5,3,4,7,2675,D,Ship,medium,F,1
6,1,5,4,4887,D,Road,low,M,0
3,1,3,8,5318,C,Road,low,M,0
4,2,2,4,5233,F,Ship,high,F,1
4,1,5,9,1530,F,Road,low,M,0
3,1,4,8,5376,D,Ship,low,F,1
5,4,2,55,2257,A,Ship,low,M,1
4,4,3,12,3279,A,Flight,low,M,1
4,4,2,4,5101,F,Ship,medium,F,0
3,5,3,5,5206,C,Road,high,F,0
4,1,2,7,5864,B,Flight,medium,F,0
5,2,3,29,2411,D,Road,medium,F,1
5,4,4,1,5533,A,Ship,low,M,1
3,4,3,4,4628,B,Road,low,M,0
3,5,4,7,4741,B,Ship,medium,F,1
4,5,6,9,1858,B,Ship,low,F,0
5,2,2,63,1254,F,Ship,medium,F,1
7,3,4,7,1915,D,Flight,medium,F,0
4,3,4,5,5307,C,Ship,low,F,0
5,3,5,4,1257,F,Ship,medium,M,1
5,4,2,10,5670,A,Flight,medium,M,0
3,3,3,5,4664,D,Road,medium,F,0
6,5,5,63,2573,F,Ship,high,F,1
5,1,3,3,4939,A,Road,low,M,1
5,3,5,9,4990,F,Ship,medium,F,0
4,1,7,4,4476,D,Ship,high,M,1
5,5,5,35,2508,B,Ship,low,F,1
5,5,4,8,1132,F,Ship,low,M,1
4,2,3,3,4653,C,Ship,low,M,1
3,3,3,5,5981,A,Road,low,F,1
3,2,3,7,4682,D,Ship,low,M,0
3,2,2,53,1390,A,Ship,medium,M,1
3,1,3,61,1313,B,Ship,medium,M,1
4,1,2,3,5877,C,Ship,low,F,0
5,3,2,1,4500,C,Flight,low,F,1
4,3,2,9,4322,D,Road,medium,F,1
3,2,2,2,4122,C,Ship,medium,F,0
4,2,4,62,3198,A,Ship,low,F,1
5,4,4,65,1951,F,Road,low,F,1
4,1,2,5,5014,C,Ship,medium,F,1
3,1,2,25,1851,B,Ship,high,M,1
6,3,3,7,4829,D,Road,low,F,1
3,4,2,8,4837,C,Flight,medium,F,0
2,5,3,5,5320,F,Ship,low,F,0
3,5,3,9,4191,B,Road,medium,M,0
4,3,4,4,4102,C,Ship,medium,M,1
5,4,2,8,4996,B,Ship,high,M,1
3,3,4,12,2151,F,Road,low,M,1
5,2,8,62,3450,B,Ship,low,M,1
3,5,5,27,1581,C,Road,low,M,1
6,5,4,6,1185,D,Ship,medium,F,0
3,3,2,42,1950,B,Ship,low,M,1
5,2,6,5,1951,F,Road,low,F,0
4,1,3,5,3100,D,Road,low,M,1
4,1,3,30,2669,D,Ship,medium,F,1
3,3,3,56,1490,C,Flight,low,M,1
3,3,5,10,5580,F,Ship,medium,M,0
2,3,6,6,5341,B,Flight,high,F,1
5,3,3,2,4731,F,Road,low,F,1
7,1,4,6,1297,F,Ship,medium,M,1
4,3,5,3,1224,A,Ship,medium,M,0
6,2,6,3,5967,D,Road,low,M,1
4,2,3,6,5616,F,Ship,medium,F,1
4,5,5,7,1381,D,Ship,medium,F,0
4,4,3,10,5674,B,Ship,low,M,1
4,5,3,2,1693,A,Flight,low,F,0
3,5,3,2,5556,A,Road,low,F,1
3,2,2,24,1966,C,Ship,low,F,1
3,3,4,10,5181,C,Flight,medium,M,0
4,3,3,10,4020,D,Ship,low,M,0
3,5,2,4,4015,F,Ship,low,M,0
6,2,4,8,1015,A,Ship,low,M,0
3,2,3,44,3802,F,Ship,high,F,1
4,2,5,10,1744,F,Ship,medium,M,0
4,1,3,31,1712,F,Flight,medium,M,1
3,2,3,56,1303,D,Ship,low,F,1
5,1,5,3,4966,F,Ship,low,M,0
3,5,3,8,5877,C,Ship,low,M,0
2,2,6,1,4165,A,Ship,medium,F,1
4,4,6,10,4596,D,Ship,medium,F,1
5,4,4,38,2771,B,Ship,medium,F,1
3,2,4,6,5761,F,Flight,medium,M,0
4,2,3,4,5916,F,Ship,low,F,0
6,5,4,10,1669,D,Ship,low,M,0
3,4,2,12,1493,B,Flight,medium,M,1
4,4,5,9,1716,F,Ship,medium,F,1
7,4,4,10,1217,D,Ship,low,F,1
4,1,3,25,1152,D,Ship,low,F,1
7,1,4,9,1885,F,Ship,low,F,0
5,2,2,9,5530,B,Road,medium,F,0
4,5,2,6,4994,D,Ship,low,M,0
6,1,4,7,1372,F,Road,low,F,1
3,5,3,45,2513,A,Ship,low,F,1
5,1,2,10,4108,C,Ship,medium,F,1
3,5,2,5,4933,F,Flight,low,M,1
5,1,3,32,3003,C,Ship,medium,F,1
3,1,5,1,5459,B,Ship,low,M,0
4,5,3,3,5824,A,Ship,low,F,1
6,1,2,57,3966,F,Ship,low,M,1
3,3,2,1,5884,C,Flight,low,M,1
5,3,2,3,5113,D,Ship,medium,M,0
3,4,3,7,5013,C,Ship,low,M,1
4,5,3,10,5275,C,Ship,medium,F,0
7,5,3,46,1550,A,Ship,low,M,1
5,1,3,43,2994,A,Ship,low,F,1
4,5,2,2,4978,C,Ship,low,M,0
4,5,3,9,1314,F,Ship,medium,F,1
3,1,2,9,1158,A,Ship,low,M,1
4,3,3,4,5866,A,Ship,low,M,0
7,2,4,7,1176,F,Ship,low,F,0
6,3,4,5,1261,F,Ship,high,F,1
4,3,5,10,1646,D,Flight,medium,M,1
5,2,6,2,1851,A,Ship,low,M,0
5,3,5,7,4157,B,Ship,low,M,0
3,3,3,5,4388,C,Ship,low,F,0
4,3,3,1,5129,F,Ship,medium,F,1
5,4,3,1,5775,A,Ship,low,F,1
3,3,10,7,4273,B,Ship,low,F,1
3,2,3,39,1512,B,Road,medium,F,1
5,2,7,7,5204,D,Ship,low,M,0
4,3,6,10,1174,F,Flight,medium,M,0
6,1,4,1,1434,A,Ship,low,M,0
5,1,2,7,4792,D,Road,low,F,0
5,5,8,9,5186,D,Road,low,M,0
3,3,3,33,3463,A,Ship,low,F,1
3,1,3,9,5539,F,Ship,low,F,0
4,2,3,2,4750,F,Ship,low,M,1
3,3,3,4,1399,F,Ship,low,F,0
3,2,2,7,5522,C,Ship,low,M,0
7,2,5,61,1856,F,Road,medium,F,1
3,5,2,1,5970,D,Ship,medium,M,0
5,1,3,8,5727,C,Flight,medium,M,1
4,1,2,2,5685,A,Ship,low,F,0
3,3,4,6,4015,B,Ship,low,F,0
5,5,3,9,3873,C,Ship,medium,F,1
6,5,4,1,1957,F,Ship,medium,F,1
4,2,3,5,4702,C,Ship,medium,F,1
5,5,5,7,1137,B,Ship,low,F,0
3,3,2,1,5098,A,Ship,medium,M,1
4,3,3,4,4666,B,Flight,medium,F,0
2,2,3,28,1968,F,Ship,low,M,1
5,5,5,6,1300,C,Flight,low,F,0
3,1,3,8,5509,F,Flight,medium,F,0
4,3,2,2,5879,F,Ship,medium,M,0
4,4,5,5,1184,A,Ship,medium,F,0
3,3,4,7,5147,D,Ship,medium,F,0
3,3,2,10,5632,D,Road,low,F,0
6,3,4,3,1772,F,Ship,medium,M,1
5,2,3,2,4054,B,Ship,low,M,1
