Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021, GNI - 2021,Population - 2023
1,Japan,106.48,Asia,0.99,29,0.925,13.4,42274.0,123294513
2,Taiwan,106.47,Asia,0.96,4,,,,10143543
3,Singapore,105.89,Asia,0.97,0,0.939,11.9,90919.0,6014723
4,Hong Kong,105.37,Asia,0.94,1,0.952,12.2,62607.0,7491609
5,China,104.1,Asia,0.96,8,0.768,7.6,17504.0,1425671352
6,South Korea,102.35,Asia,0.98,0,0.925,12.5,44501.0,51784059
7,Belarus,101.6,Europe,1.0,2,0.808,12.1,18849.0,9498238
8,Finland,101.2,Europe,1.0,5,0.94,12.9,49452.0,5545475
9,Liechtenstein,101.07,Europe,1.0,0,0.935,12.5,146830.0,	39315
10,Germany,100.74,Europe,0.99,111,0.942,14.1,54534.0,83294633
11,Netherlands,100.74,Europe,0.99,22,0.941,12.6,55979.0,17618299
12,Estonia,100.72,Europe,1.0,0,0.89,13.5,38048.0,1322766
13,Luxembourg,99.87,Europe,1.0,2,0.93,13.0,84649.0,654.768
14,Macao,99.82,Asia,0.97,0,,,,704.15
15,Cambodia,99.75,Asia,0.78,0,0.593,5.1,4079.0,16944826
16,Canada,99.52,North America,0.99,28,0.936,13.8,46808.0,38781292
17,Australia,99.24,Oceania,0.99,12,0.951,12.7,49238.0,26439112
18,Hungary,99.24,Europe,0.99,13,0.846,12.2,32789.0,10156239
19,Switzerland,99.24,Europe,0.99,27,0.962,13.9,66933.0,8796669
20,United Kingdom,99.12,Europe,0.99,137,0.929,13.4,45225.0,67736802
21,North Korea,98.82,Asia,1.0,0,,,,26160822
22,Slovenia,98.6,Europe,1.0,1,0.918,12.8,39746.0,2119675
23,New Zealand,98.57,Oceania,0.99,3,0.937,12.9,44057.0,5228100
24,Austria,98.38,Europe,0.98,22,0.916,12.3,53619.0,8958961
25,Iceland,98.26,Europe,0.99,1,0.959,13.8,55782.0,375.319
26,Denmark,97.83,Europe,0.99,13,0.948,13.0,60365.0,5910913
27,Belgium,97.49,Europe,0.99,11,0.937,12.4,52293.0,11686140
28,United States,97.43,North America,0.99,400,0.921,13.7,64765.0,339996564
29,Norway,97.13,Europe,1.0,13,0.961,13.0,64660.0,5474360
30,Sweden,97.0,Europe,0.99,32,0.947,12.6,54489.0,10612086
31,France,96.69,Europe,0.99,71,0.903,11.6,45937.0,64756584
32,Poland,96.35,Europe,1.0,19,0.876,13.2,33034.0,41026068
33,Slovakia,96.32,Europe,1.0,0,0.848,12.9,30690.0,5795199
34,Russia,96.29,Europe/Asia,1.0,0,0.822,12.8,27166.0,144444359
35,Lithuania,95.89,Europe,1.0,3,0.875,13.5,37931.0,2718352
36,Croatia,95.75,Europe,0.99,2,0.858,12.2,30132.0,4008617
37,Andorra,95.2,Europe,1.0,0,0.858,10.6,51167.0,76.965
38,Ireland,95.13,Europe,0.99,11,0.945,11.6,76169.0,5056935
39,Czech republic,94.92,Europe,0.99,6,0.889,12.9,38745.0,10495295
40,Latvia,94.79,Europe,1.0,1,0.863,13.3,32803.0,1830212
41,Italy,94.23,Europe,0.99,21,0.895,10.7,42840.0,58870763
42,New Caledonia,93.92,Oceania,0.97,0,,,,292.991
43,Vanuatu,93.92,Oceania,0.85,0,0.607,7.1,3085.0,334.506
44,Spain,93.9,Europe,0.98,8,0.905,10.6,38354.0,47519628
45,Bermuda,93.48,North America,0.98,0,,,,63.837
46,Cyprus,93.39,Europe,0.99,1,0.896,12.4,38188.0,1260138
47,Portugal,92.77,Europe,0.95,2,0.866,9.6,33155.0,10247605
48,Israel,92.43,Asia,0.97,13,0.919,13.3,41524.0,9174520
49,Barbados,91.6,Central America,1.0,0,0.79,9.9,12306.0,281.996
50,Malta,91.27,Europe,0.94,0,0.918,12.2,38884.0,535.065
51,Myanmar,91.18,Asia,0.93,1,0.585,6.4,3851.0,54577997
52,Mongolia,91.03,Asia,0.98,0,0.739,9.4,10588.0,3447157
53,Bulgaria,90.99,Europe,0.98,1,0.795,11.4,23079.0,6687717
54,Greece,90.77,Europe,0.95,2,0.887,11.4,29002.0,10341277
55,Suriname,90.29,South America,0.96,0,0.73,9.8,12672.0,623.237
56,Ukraine,90.07,Europe,1.0,6,0.773,11.1,13256.0,36744634
57,Moldavia,89.98,Europe,0.99,0,0.767,11.8,14875.0,3435931
58,Serbia,89.6,Europe,0.98,0,0.802,11.4,19123.0,7149077
59,Vietnam,89.53,Asia,0.95,1,0.703,8.4,7867.0,98858950
60,Iraq,89.28,Asia,0.8,1,0.686,7.9,9977.0,45504560
61,Uzbekistan,89.01,Asia,1.0,0,0.727,11.9,7917.0,35163944
62,Kazakhstan,88.89,Asia,1.0,0,0.811,12.3,23943.0,19606634
63,Thailand,88.87,Asia,0.94,0,0.8,8.7,17030.0,71801279
64,Armenia,88.82,Asia,1.0,0,0.759,11.3,13158.0,2777971
65,Bosnia and Herzegovina,88.54,Europe,0.98,2,0.78,10.5,15242.0,3210848
66,Costa Rica,88.34,Central America,0.98,1,0.809,8.8,19974.0,5212173
67,Bhutan,87.94,Asia,0.64,0,0.666,5.2,9438.0,787.425
68,Chile,87.89,South America,0.97,2,0.855,10.9,24563.0,19629590
69,Mexico,87.73,North America,0.95,3,0.758,9.2,17896.0,128455567
70,Tajikistan,87.71,Asia,1.0,0,0.685,11.3,4548.0,10143543
71,Uruguay,87.59,South America,0.98,0,0.809,9.0,21269.0,3423109
72,Brunei,87.58,Asia,0.97,0,0.829,9.2,64490.0,452.524
73,Malaysia,87.58,Asia,0.95,0,0.803,10.6,26658.0,34308525
74,Bahamas,86.99,Central America,0.96,0,0.812,12.6,30486.0,412.624
75,Romania,86.88,Europe,0.99,5,0.821,11.3,30027.0,19892812
76,Türkiye,86.8,Europe/Asia,0.96,2,0.838,8.6,31033.0,85816199
77,Argentina,86.63,South America,0.98,5,0.842,11.1,20925.0,45773884
78,Sri Lanka,86.62,Asia,0.93,0,0.782,10.8,12578.0,21893579
79,Mauritius,86.56,Africa,0.91,0,0.802,10.4,22025.0,1300557
80,Turkmenistan,85.86,Asia,1.0,0,0.745,11.3,13021.0,6516100
81,Montenegro,85.78,Europe,0.99,0,0.832,12.2,20839.0,626.485
82,Trinidad and Tobago,85.63,Central America,0.99,1,0.81,11.6,23392.0,1534937
83,Azerbaijan,84.81,Asia,1.0,1,0.745,10.5,14257.0,10412652
84,Georgia,84.5,Europe/Asia,1.0,0,0.802,12.8,14664.0,3728282
85,Turks and Caicos Islands,84.29,Central America,0.98,0,,,,44.104
86,Paraguay,84.04,South America,0.96,0,0.717,8.9,12349.0,6861524
87,Federated States of Micronesia,83.96,Oceania,0.89,0,0.628,7.8,3696.0,115.224
88,Fiji,83.96,Oceania,0.94,0,0.73,10.9,9980.0,936.375
89,Marshall Islands,83.96,Oceania,0.98,0,0.639,10.9,4620.0,41.996
90,Solomon Islands,83.96,Oceania,0.84,0,0.564,5.7,2482.0,740.425
91,Cuba,83.9,Central America,1.0,0,0.764,12.5,7879.0,11194449
92,Bahrain,83.6,Asia,0.96,0,0.875,11.0,39497.0,1485510
93,Brazil,83.38,South America,0.93,0,0.754,8.1,14370.0,216422446
94,Guyana,83.23,South America,0.88,0,0.714,8.6,22465.0,813.834
95,Colombia,83.13,South America,0.95,2,0.752,8.9,14384.0,52085168
96,Venezuela,82.99,South America,0.95,1,0.691,11.1,4811.0,28838499
97,Cayman Islands,82.24,Central America,0.99,0,,,,69310
98,Afghanistan,82.12,Asia,0.38,0,0.478,3.0,1824.0,42239854
99,Haiti,82.1,Central America,0.61,0,0.535,5.6,2848.0,11724764
100,Dominican Republic,82.05,Central America,0.92,0,0.767,9.3,17990.0,11332973
101,United Arab Emirates,82.05,Asia,0.93,0,0.911,12.7,62574.0,9516871
102,Puerto Rico,81.99,Central America,0.93,0,,,,3260314
103,North Macedonia,81.91,Europe,0.98,0,0.77,10.2,15918.0,2085679
104,Albania,81.75,Europe,0.98,0,0.796,11.3,14131.0,2832439
105,Lebanon,81.7,Asia,0.94,0,0.706,8.7,9526.0,5353930
106,Philippines,81.64,Asia,0.97,1,0.699,9.0,8920.0,117337368
107,Peru,81.44,South America,0.94,1,0.762,9.9,12246.0,34352719
108,Northern Mariana Islands,81.36,Oceania,0.97,0,,,,49.796
109,Laos,80.99,Asia,0.8,0,0.607,5.4,7700.0,7633779
110,Libya,80.92,Africa,0.91,0,0.718,7.6,15336.0,6888388
111,Qatar,80.78,Asia,0.98,0,0.855,10.0,87134.0,2716391
112,Jordan,80.7,Asia,0.98,0,0.72,10.4,9924.0,11337053
113,Maldives,80.54,Asia,0.99,0,0.747,7.3,15448.0,521.022
114,Iran,80.01,Asia,0.87,1,0.774,10.6,13001.0,89172767
115,Pakistan,80.0,Asia,0.56,2,0.544,4.5,4624.0,240485658
116,Grenade,79.34,Central America,0.96,0,0.795,9.0,13484.0,126.184
117,Tunisia,79.22,Africa,0.81,1,0.731,7.4,10258.0,12458223
118,Kyrgyzstan,79.09,Asia,0.99,0,0.692,11.4,4566.0,6735348
119,Panama,79.0,Central America,0.95,0,0.805,10.5,26957.0,4468087
120,Chad,78.87,Africa,0.4,0,0.394,2.6,1364.0,18278568
121,Sudan,78.87,Africa,0.59,0,0.508,3.8,3575.0,48109006
122,Seychelles,78.76,Africa,0.95,0,0.785,10.3,25831.0,107.66
123,Oman,78.7,Asia,0.94,0,0.816,11.7,27054.0,4644384
124,Kuwait,78.64,Asia,0.96,0,0.831,7.3,52920.0,4310108
125,East Timor,78.49,Asia,0.64,0,,,,1360596
126,Indonesia,78.49,Asia,0.95,0,0.705,8.6,11466.0,277534123
127,Papua New Guinea,78.49,Oceania,0.63,0,0.558,4.7,4009.0,10329931
128,Ecuador,78.26,South America,0.95,0,0.74,8.8,10312.0,18190484
129,Palestine,77.69,Asia,0.97,1,0.715,9.9,6583.0,5040000
130,Senegal,77.37,Africa,0.56,0,0.511,2.9,3344.0,17763163
131,Comoros,77.07,Africa,0.78,0,0.558,5.1,3142.0,852.075
132,Madagascar,76.79,Africa,0.65,0,0.501,5.1,1484.0,30325732
133,British Virgin Islands,76.69,Central America,0.98,0,,,, 32291
134,Bolivia,76.53,South America,0.95,0,0.692,9.8,8111.0,12388571
135,Uganda,76.42,Africa,0.74,0,0.525,5.7,2181.0,48582334
136,Saudi Arabia,76.36,Asia,0.95,0,0.875,11.3,46112.0,36947025
137,Egypt,76.32,Africa,0.76,4,0.731,9.6,11732.0,112716599
138,India,76.24,Asia,0.72,12,0.633,6.7,6590.0,1428627663
139,Algeria,76.0,Africa,0.8,2,0.745,8.1,10800.0,45606481
140,Kenya,75.2,Africa,0.78,1,0.575,6.7,4474.0,55100587
141,Angola,75.1,Africa,0.71,0,0.586,5.4,5466.0,36684203
142,Jamaica,75.08,Central America,0.89,0,0.709,9.2,8834.0,2825544
143,Tanzania,74.95,Africa,0.8,1,0.549,6.4,2664.0,67438106
144,Syria,74.41,Asia,0.86,0,0.577,5.1,4192.0,23227014
145,Bangladesh,74.33,Asia,0.61,2,0.661,7.4,5472.0,172954319
146,Zimbabwe,74.01,Africa,0.87,0,0.593,8.7,3810.0,16665409
147,Burkina Faso,73.8,Africa,0.38,0,0.449,2.1,2118.0,23251485
148,Saint Lucia,73.68,Central America,0.9,2,0.715,8.5,12048.0,180.251
149,Mozambique,72.5,Africa,0.59,0,0.446,3.2,1198.0,33897354
150,Burundi,72.09,Africa,0.85,0,0.426,3.1,732.0,13238559
151,Niger,70.82,Africa,0.19,0,0.4,2.1,1240.0,27202843
152,Antigua and Barbuda,70.48,Central America,0.99,0,0.788,9.3,16792.0,94.298
153,Rwanda,69.95,Africa,0.71,0,0.534,4.4,2210.0,14094683
154,Benin,69.71,Africa,0.38,0,0.525,4.3,3409.0,13712828
155,Malawi,69.7,Africa,0.66,0,0.512,4.5,1466.0,20931751
156,El Salvador,69.63,Central America,0.88,0,0.675,7.2,8296.0,6364943
157,Botswana,69.45,Africa,0.88,0,0.693,10.3,16198.0,2675353
158,Lesotho,68.87,Africa,0.79,0,0.514,6.0,2700.0,2330318
159,South Africa,68.87,Africa,0.95,11,0.713,11.4,12948.0,60414495
160,Eswatini,68.87,Africa,0.87,0,0.597,5.6,7679.0,1210822
161,Eritrea,68.77,Africa,0.74,0,0.492,4.9,1729.0,3748902
162,Saint Helena,68.74,Africa,0.97,0,,,,6.115
163,Zambia,68.43,Africa,0.85,0,0.565,7.2,3218.0,20569738
164,Ethiopia,68.42,Africa,0.49,1,0.498,3.2,2361.0,126527060
165,Djibouti,68.41,Africa,0.68,0,0.509,4.1,5025.0,1136455
166,Cameroon,67.76,Africa,0.75,0,0.576,6.2,3621.0,28647293
167,Nigeria,67.76,Africa,0.6,1,0.535,7.2,4790.0,223804632
168,Somalia,67.67,Africa,0.38,0,,,,18143379
169,Morocco,67.03,Africa,0.72,1,0.683,5.9,7303.0,37840044
170,Namibia,66.19,Africa,0.91,0,0.615,7.2,8634.0,2604172
171,Dominica,66.03,Central America,0.94,0,0.72,8.1,11488.0,73.161
172,Sao Tome and Principe,65.22,Africa,0.92,0,0.618,6.2,4021.0,231.856
173,Congo,64.92,Africa,0.77,0,0.571,6.2,2889.0,6106869
