name,rating,reviews,comp_type,head_quarter,how_old,no_employee
TCS,3.8,(60.1k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(38.4k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(35k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(28.6k Reviews),Public,"Mumbai,Maharashtra + 1159 more",29 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
HDFC Bank,3.9,(27.8k Reviews),Public,"Mumbai,Maharashtra + 1390 more",29 years old,1 Lakh+ Employees (India)
Infosys,3.9,(26.2k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 133 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.5k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.9k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
Genpact,4.0,(22.1k Reviews),Public,"New York,New York + 76 more",26 years old,1 Lakh+ Employees (India)
HCLTech,3.8,(21.8k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(18.8k Reviews),Public,"Mumbai,Maharashtra + 1197 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(17.6k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
IBM,4.1,(17.4k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
Reliance Jio,4.0,(16.9k Reviews),Public,"Navi Mumbai,Maharashtra + 1062 more",16 years old,50k-1 Lakh Employees (India)
Amazon,4.2,(16.8k Reviews),Public,"Seattle,Washington + 384 more",29 years old,1 Lakh+ Employees (India)
Larsen & Toubro ...,4.0,(16.1k Reviews),Public,"Mumbai,Maharashtra + 560 more",85 years old,1 Lakh+ Employees (India)
HDB Financial Se...,4.0,(15.2k Reviews),Private,"Ahmedabad,Gujrat + 864 more",16 years old,10k-50k Employees (India)
Reliance Retail,4.0,(14.4k Reviews),Private,"Navi Mumbai,Maharashtra + 840 more",17 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(14k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
Vodafone Idea,4.2,(14k Reviews),Public,"Gandhinagar,Gujrat + 591 more",5 years old,10k-50k Employees (India)
Deloitte,4.0,(11.8k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 502 more",20 years old,10k-50k Employees (India)
BYJU'S,3.2,(11.5k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
Reliance Industr...,4.0,(11.1k Reviews),Public,"Navi Mumbai,Maharashtra + 559 more",46 years old,
Bharti Airtel,4.0,(10.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 572 more",28 years old,10k-50k Employees (India)
Tata Motors,4.2,(9.7k Reviews),Public,"Pune,Maharashtra + 403 more",78 years old,10k-50k Employees (India)
Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
Ernst & Young,3.7,(8.1k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
WNS,3.6,(8.1k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(7.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 615 more",29 years old,10k-50k Employees (India)
Mahindra & Mahin...,4.2,(7.6k Reviews),Public,"Mumbai,Maharashtra + 427 more",78 years old,1 Lakh+ Employees (India)
DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
Infosys BPM,3.9,(6.9k Reviews),"Bangalore/Bengaluru,Karnataka + 52 more",21 years old,10k-50k Employees (India),
IDFC FIRST Bank,4.0,(6.5k Reviews),Public,"Mumbai,Maharashtra + 481 more",5 years old,10k-50k Employees (India)
Maruti Suzuki,4.1,(6.5k Reviews),Public,"New Delhi,Delhi + 386 more",40 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 84 more",23 years old,10k-50k Employees (India)
Bajaj Finserv,4.0,(6.1k Reviews),Public,"Pune,Maharashtra + 759 more",16 years old,10k-50k Employees (India)
HSBC Group,4.1,(6.1k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,10k-50k Employees (India)
Conneqt Business...,3.7,(6k Reviews),Private,"Mumbai,Maharashtra + 177 more",21 years old,10k-50k Employees (India)
Ericsson,4.3,(5.8k Reviews),Private,"Stockholm,Stockholm County + 138 more",147 years old,10k-50k Employees (India)
Mphasis,3.6,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 40 more",25 years old,10k-50k Employees (India)
iEnergizer,4.2,(5.6k Reviews),Private,"Noida,Uttar Pradesh + 17 more",23 years old,10k-50k Employees (India)
PwC,3.7,(5.5k Reviews),Partnership,"London,United Kingdom + 74 more",143 years old,10k-50k Employees (India)
Startek,3.3,(5.4k Reviews),Public,"Mumbai,Maharashtra + 53 more",6 years old,10k-50k Employees (India)
HDFC Life,4.1,(5.4k Reviews),Public,"Mumbai,Maharashtra + 457 more",1 years old,10k-50k Employees (India)
Yes Bank,3.9,(5.3k Reviews),Public,"Mumbai,Maharashtra + 399 more",19 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(5.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 145 more",39 years old,10k-50k Employees (India)
Asian Paints,4.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 371 more",81 years old,10k-50k Employees (India)
Cipla Pharmaceut...,4.1,(5.2k Reviews),Public,"Mumbai,Maharashtra + 196 more",88 years old,10k-50k Employees (India)
Sutherland Globa...,3.8,(5.2k Reviews),Private,"Pittsford,New York + 43 more",37 years old,10k-50k Employees (India)
NTT DATA,4.0,(5k Reviews),Private,"Chiyoda City,Tokyo + 45 more",35 years old,10k-50k Employees (India)
Jana Small Finan...,3.8,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 323 more",17 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 417 more",23 years old,10k-50k Employees (India)
Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 326 more",7 years old,1k-5k Employees (India)
EXL Service,3.9,(4.8k Reviews),Private,"New York City,New York + 35 more",24 years old,10k-50k Employees (India)
HCL Group,3.8,(4.8k Reviews),Chennai + 64 more,47 years old,1 Lakh+ Employees (India),
Lupin,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 141 more",55 years old,10k-50k Employees (India)
KPMG,3.7,(4.8k Reviews),Partnership,Bengaluru/Bangalore + 66 more,36 years old,10k-50k Employees (India)
UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 383 more",40 years old,10k-50k Employees (India)
Bajaj Finance,4.1,(4.5k Reviews),Private,"Pune,Maharashtra + 680 more",36 years old,10k-50k Employees (India)
Paytm,3.6,(4.5k Reviews),Public,Noida + 260 more,13 years old,10k-50k Employees (India)
Bandhan Bank,3.9,(4.5k Reviews),Public,"Kolkata,West Bengal + 633 more",22 years old,50k-1 Lakh Employees (India)
L&T Infotech,3.8,(4.5k Reviews),Public,"Mumbai,Maharashtra + 69 more",27 years old,10k-50k Employees (India)
Indian Army,4.7,(4.5k Reviews),Public,"New Delhi,Delhi + 290 more",128 years old,1 Lakh+ Employees (India)
ITC,3.9,(4.4k Reviews),Public,"Kolkata,West Bengal + 262 more",48 years old,10k-50k Employees (India)
Mindtree,4.0,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,10k-50k Employees (India)
AU Small Finance...,4.2,(4.3k Reviews),Private,"Jaipur,Rajasthan + 326 more",27 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 385 more",90 years old,10k-50k Employees (India)
Ujjivan Small Fi...,4.1,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 395 more",6 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(4.2k Reviews),Private,"New York,New York + 25 more",23 years old,10k-50k Employees (India)
Delhivery,4.1,(4.2k Reviews),Private,"Delhi,NCT + 526 more",12 years old,10k-50k Employees (India)
Wells Fargo,4.2,(4.2k Reviews),Public,"San Francisco,California + 15 more",171 years old,10k-50k Employees (India)
IIFL Finance,3.8,(4.1k Reviews),Public,"Mumbai,Maharashtra + 572 more",28 years old,10k-50k Employees (India)
Home Credit Fina...,4.2,(4.1k Reviews),Private,Gurugram + 107 more,11 years old,5k-10k Employees (India)
Amazon Developme...,4.3,(3.9k Reviews),Hyderabad/Secunderabad + 45 more,,,
Quess,4.0,(3.9k Reviews),Public,Bangalore + 431 more,16 years old,1 Lakh+ Employees (India)
Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,Mumbai + 167 more,40 years old,10k-50k Employees (India)
TATA Steel,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 132 more",116 years old,1 Lakh+ Employees (India)
OPPO,3.9,(3.9k Reviews),Public,"Dongguan,Guangdong + 346 more",19 years old,10k-50k Employees (India)
Ashok Leyland,4.1,(3.8k Reviews),Public,"Chennai,Tamil Nadu + 197 more",75 years old,10k-50k Employees (India)
Hexaware Technol...,3.7,(3.8k Reviews),Private,"Mumbai,Maharashtra + 32 more",33 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.2,(3.8k Reviews),Private,"Mumbai,Maharashtra + 147 more",158 years old,5k-10k Employees (India)
Shriram Transpor...,4.1,(3.8k Reviews),Public,"Mumbai,Maharashtra + 729 more",44 years old,10k-50k Employees (India)
JSW Steel,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 108 more",41 years old,10k-50k Employees (India)
Vivo,4.0,(3.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 346 more",14 years old,5k-10k Employees (India)
