Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,785,1 stop,26890
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,15:35,485,1 stop,7744
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,740,1 stop,27992
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,2345,2 stops,17135
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1425,1 stop,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,655,2 stops,11213
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,435,2 stops,17461
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,1825,3 stops,12346
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1420,1 stop,22270
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,07:55,140,non-stop,8580
Air India,2019-01-03,Delhi,Cochin,DEL → BLR → COK,09:45,1350,1 stop,22798
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,13:20,135,non-stop,7295
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,980,2 stops,13366
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:10,155,non-stop,6565
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,16:55,90,non-stop,8853
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,22:20,140,non-stop,5515
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1265,1 stop,14594
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,11:35,145,non-stop,7900
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,04:00,1660,1 stop,28322
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,745,1 stop,11003
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,885,1 stop,26890
Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,05:50,170,non-stop,10715
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,17:00,165,non-stop,25913
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,405,1 stop,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,00:30,1405,1 stop,12599
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → VGA → DEL,05:50,1770,4 stops,17686
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,13:55,90,non-stop,10082
Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,06:40,915,1 stop,18387
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1365,1 stop,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,375,1 stop,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,19:35,300,1 stop,22153
