hotel_name,rating_and_delivery_time,food_type,location,offer
McDonald's,4.5 • 27 mins,"Burgers, Beverages, Cafe, Desserts",Kandivali East,30% OFF UPTO ₹75 
KFC,4.2 • 30 mins,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,40% OFF UPTO ₹80 
Domino's Pizza,4.3 • 25 mins,"Pizzas, Italian, Pastas, Desserts",Thakur Village,₹150 OFF ABOVE ₹299 
Charcoal Eats - Biryani & Beyond,4.3 • 24 mins,"Biryani, Kebabs, Hyderabadi, North Indian",Malad Kan East,50% OFF UPTO ₹100 
Sandwizzaa,4.6 • 22 mins,"Snacks, Fast Food, Beverages, Jain",Kandivali East,60% OFF UPTO ₹120 
1441 Pizzeria,3.8 • 32 mins,"Italian, Pizzas, Pastas",Kandivali East,60% OFF UPTO ₹120 
Hangout Cakes & More,4.4 • 24 mins,"Desserts, Bakery",Borivali West,60% OFF UPTO ₹150 
Love & Cheesecake ,4.5 • 14 mins,Desserts,Kandivali East, 
Nothing But Chicken,4.5 • 22 mins,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East,20% OFF UPTO ₹50 
Sweet Bengal,4.6 • 13 mins,"Sweets, Indian, Snacks, Desserts",Kandivali East,20% OFF UPTO ₹50 
Atta Girl,4.7 • 27 mins,South Indian,Malad West, 
NIC Ice Creams,4.7 • 17 mins,"Ice Cream, Desserts",Kandivali East,ITEMS AT ₹149 
Poetry By Love & Cheesecake,4.4 • 34 mins,Desserts,Kandivali West, 
Havmor Havfunn Ice Cream,4.6 • 18 mins,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad Kan East, 
NOTO - Ice Creams & Desserts,4.6 • 15 mins,Ice Cream,Kandivali East,₹175 OFF ABOVE ₹799 
McDonald's Gourmet Burger Collection,4.3 • 26 mins,"Burgers, Beverages, Cafe, Desserts",Malad Kan East, 
Grameen Kulfi,4.7 • 16 mins,"Ice Cream, Desserts",Kandivali East,EVERY ITEM @ ₹99 
Surbhi Sweets And Snacks,4.2 • 24 mins,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East,₹125 OFF ABOVE ₹599 
Jumboking Indian Burger,4.5 • 25 mins,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East,₹175 OFF ABOVE ₹449 
Theobroma,4.5 • 23 mins,"Bakery, Desserts",Borivali West,₹150 OFF ABOVE ₹999 
Amul Real Milk Real Ice Cream,4.3 • 29 mins,Ice Cream,Borivali West, ₹100 OFF ABOVE ₹749
"Dabba Garam (Homestyle,Combo, Thali & More)",4.5 • 35 mins,"Home Food, North Indian, Thai",Borivali, 15% OFF UPTO ₹45
KFC,4.2 • 30 mins,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East, 40% OFF UPTO ₹80
McDonald's,4.5 • 27 mins,"Burgers, Beverages, Cafe, Desserts",Kandivali East, 30% OFF UPTO ₹75
Bakingo-Cakes & Desserts,4.4 • 33 mins,"Bakery, Desserts, Beverages, Snacks",Kandivali West, ₹175 OFF ABOVE ₹999
Domino's Pizza,4.3 • 25 mins,"Pizzas, Italian, Pastas, Desserts",Thakur Village, ₹150 OFF ABOVE ₹299
NH1 Bowls - Highway To North,4.7 • 11-21 mins,"North Indian, Punjabi, Home Food",Kandivali East, 50% OFF UPTO ₹100
63 By-Lane,4.3 • 36 mins,"Pizzas, Pastas, Salads",Malad Kan East, ₹125 OFF ABOVE ₹699
Nishi Home Delites,4.6 • 27 mins,"Indian, Punjabi",Kandivali East, FREE ITEM 
Rasobongo,4.4 • 13 mins,"Bengali, Sweets, Desserts, Snacks",Kandivali East, 10% OFF UPTO ₹40
Central Prabhu,4.4 • 35 mins,"Mughlai, North Indian, Chinese, Konkan, Malwani",Borivali East, ₹100 OFF ABOVE ₹299
Peetuk,4.2 • 22 mins,"Biryani, Bengali",Kandivali East, ₹125 OFF ABOVE ₹249
The Joy Pizzateria,4.1 • 24 mins,"Pizzas, Beverages",Kandivali East, 60% OFF UPTO ₹120
Theobroma,4.5 • 15 mins,"Bakery, Desserts",Kandivali East, ₹150 OFF ABOVE ₹999
Third Wave Coffee,4.3 • 18 mins,"Cafe, Beverages, Desserts",Malad Kan East, 20% OFF UPTO ₹50
Big Bowl,4 • 24 mins,"North Indian, Chinese, Tibetan, Desserts",Kandivali East, ITEMS AT ₹169
Shree mithai,4.7 • 24 mins,Indian,Borivali, 
Breadkraft,4.3 • 21 mins,Pizzas,Mumbai, 30% OFF UPTO ₹75
The Bengal Club,4.1 • 18 mins,Bengali,Malad Kan East, ₹125 OFF ABOVE ₹249
Shawarmaji,4.4 • 16 mins,Lebanese,Thakur village Kandivali east, FREE ITEM 
Charcoal Eats - Biryani & Beyond,4.3 • 24 mins,"Biryani, Kebabs, Hyderabadi, North Indian",Malad Kan East, 50% OFF UPTO ₹100
Good Flippin' Burgers,4.6 • 18 mins,"American, Fast Food, Burgers",Kandivali East, 20% OFF UPTO ₹50
Achija,4.2 • 22 mins,"North Indian, South Indian, Chinese, Beverages, Indian, Burgers, Chaat",Kandivali East, 
Granville Greens,4.4 • 36 mins,"North Indian, South Indian, Chinese, Beverages, Italian, Mexican, Lebanese, Thai",Borivali, 10% OFF ABOVE ₹500
New kathiyawadi dhaba,4.3 • 34 mins,"Indian, South Indian, Punjabi, Rajasthani",Borivali, 10% OFF ABOVE ₹700
Granville IDC Kitchen (Borivali),4.5 • 34 mins,South Indian,Borivali West, 
Nirvana,4.4 • 32 mins,"North Indian, Jain, Kebabs, Biryani, Chinese",Malad Kan East, 
Banglore Iyanger Bakery,4.5 • 13 mins,Bakery,Malad Kan East, 10% OFF UPTO ₹40
Sweet County Cake Shop,4.6 • 25 mins,"Desserts, Bakery, Snacks",Kandivali East, 
The Netrik's Joint,4.1 • 18 mins,"Fast Food, Pizzas, Snacks, Chinese, Beverages",Malad Kan West, 30% OFF UPTO ₹75
Sandwizzaa,4.6 • 22 mins,"Snacks, Fast Food, Beverages, Jain",Kandivali East, 60% OFF UPTO ₹120
Gaurav Sweets And Namkeen,4.3 • 20 mins,"Sweets, Snacks, Chaat",Malad Kan East, 
Raju's Kitchen,4.2 • 32 mins,"Chinese, Indian", SARAAF CHOUDHARY NAGAR, 10% OFF UPTO ₹40
Bayleaf,4.3 • 32 mins,"Indian, Snacks",Kandivali East, 10% OFF ABOVE ₹1500
South Tiffin House,4.4 • 28 mins,"South Indian, Fast Food, Snacks",Malad Kan East, 30% OFF UPTO ₹75
Brijwasi Sweets,4.3 • 14 mins,"Sweets, Snacks",Kandivali East, 10% OFF UPTO ₹100
1441 Pizzeria,3.8 • 32 mins,"Italian, Pizzas, Pastas",Kandivali East, 60% OFF UPTO ₹120
Dominic Pizza,33 mins,"Fast Food, Pizzas, Chinese, Italian, Pastas, Desserts, Burgers, Mexican, American, Street Food",Pizza Story, 50% OFF UPTO ₹100
abCoffee,4.7 • 15 mins,"Cafe, Beverages, Bakery, Desserts",Malad Kan East, 20% OFF UPTO ₹50
K Bhagat Tarachand,3.8 • 25 mins,North Indian,Malad Kan East, 
Saffron Restaurant,4.1 • 31 mins,"North Indian, Chinese, Beverages, Tandoor, Kebabs",Kandivali East, FREE ITEM 
Flavours Of China,4.4 • 33 mins,Chinese,Borivali East, 
The Veg Treat,4.4 • 33 mins,"North Indian, South Indian, Chinese",Borivali West, 
The House Of Pasta,4.4 • 34 mins,"Pastas, Snacks",Borivali, ₹100 OFF ABOVE ₹999
Hangout Cakes & More,4.4 • 24 mins,"Desserts, Bakery",Borivali West, 60% OFF UPTO ₹150
Radhe Dhokla,4.3 • 33 mins,"North Indian, Gujarati, Punjabi, Fast Food, Chinese, Snacks",Kandivali West, ₹175 OFF ABOVE ₹449
Love & Cheesecake ,4.5 • 14 mins,Desserts,Kandivali East, 
Northern Tadka,4.5 • 31 mins,"North Indian, Mughlai",Kandivali East, 10% OFF UPTO ₹40
The Ice Cream Bakery - TIB,4.5 • 25 mins,"Ice Cream, Bakery, Desserts, Sweets, Beverages",Kandivali East, 20% OFF UPTO ₹50
Chai Sutta Bar,4.4 • 26 mins,"Indian, Snacks",Kandivali East, 10% OFF UPTO ₹40
Sweet Bengal,4.6 • 13 mins,"Sweets, Indian, Snacks, Desserts",Kandivali East, 20% OFF UPTO ₹50
Merwans Cake Stop,4.7 • 13 mins,"Indian, Desserts",Malad Kan East, 
Nothing But Chicken,4.5 • 22 mins,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East, 20% OFF UPTO ₹50
MOJO Pizza - 2X Toppings,4.3 • 16-26 mins,"Pizzas, Italian, Fast Food, Desserts",Kandivali East, 50% OFF UPTO ₹100
"WeFit-Bowls, Salads & Sandwiches",4.5 • 17-27 mins,"Healthy Food, Salads, Keto, Snacks",Vishnu Shivam Mall, 50% OFF UPTO ₹100
Blue Tokai Coffee Roasters,4.5 • 19 mins,"Healthy Food, Pastas, American, Cafe, Beverages, Bakery",Malad Kan West, 20% OFF UPTO ₹50
Daily Kitchen - Homestyle Meals,4.3 • 10-20 mins,"Home Food, Indian, North Indian, Thalis","Thakur Village, Kandivali (E)", 50% OFF UPTO ₹100
ZAZA Mughal Biryani,4.2 • 11-21 mins,"Biryani, North Indian, Awadhi",Kandivali, 50% OFF UPTO ₹100
Dessertino,4.1 • 29 mins,Desserts,Borivali, 
Cafe Delight,4.4 • 29 mins,"Indian, Tandoor",Borivali East, 
Atta Girl,4.7 • 27 mins,South Indian,Malad West, 
La Pino'z Pizza,4.2 • 25 mins,"Pizzas, Pastas, Italian, Desserts, Beverages",Thakur Complex, 50% OFF UPTO ₹100
Murlidhar Sweets And Farsan,4.7 • 30 mins,"Sweets, Street Food, Bengali, Gujarati, Desserts, Fast Food",Borivali West, 
Starbucks Coffee,4.4 • 17 mins,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",Malad Kan East, 10% OFF ABOVE ₹900
NIC Ice Creams,4.7 • 17 mins,"Ice Cream, Desserts",Kandivali East, ITEMS AT ₹149
Borivali Biryani Centre (BBC),4.5 • 26 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, 
Meemee's,4.5 • 26 mins,"Ice Cream, Desserts",Borivali, 50% OFF UPTO ₹100
Uncle's Chinese,3.6 • 36 mins,"Chinese, Fast Food, Biryani, North Indian, Beverages",Kandivali, 
Bangalore Iyengar Bakery,4.3 • 29 mins,"Bakery, Desserts",Borivali, 
Kunafa World,4.2 • 36 mins,"Middle Eastern, Desserts",Malad Kan West, 
Poetry By Love & Cheesecake,4.4 • 34 mins,Desserts,Kandivali West, 
The Cake Factory,4.2 • 22 mins,Desserts,Kandivali East, 60% OFF UPTO ₹120
Kusum Rolls,3.5 • 32 mins,"Indian, Fast Food, Lebanese, Arabian, Kebabs",Kandivali East, 
Patanwala,4.8 • 15 mins,"Sweets, Desserts",Malad Kan East, 
Monginis,4.2 • 14 mins,"Bakery, Desserts, Snacks",Kandivali East, 20% OFF UPTO ₹50
GetAWay-Ice Creams & Desserts,4.7 • 24 mins,"Ice Cream, Desserts, Healthy Food, Sweets",Kandivali, ₹175 OFF ABOVE ₹599
Mealful Rolls - India's Biggest Rolls,4.4 • 18-28 mins,"Fast Food, Snacks, North Indian, Desserts",Kandivali East, 50% OFF UPTO ₹100
The Momo Co.,4.1 • 20 mins,"Chinese, Asian, Tibetan, Desserts",Kandivali East, 50% OFF UPTO ₹100
Faasos' Signature Wraps & Rolls,4 • 25 mins,"Fast Food, Snacks, North Indian, Desserts, Beverages",Kandivali East, 50% OFF UPTO ₹100
Havmor Havfunn Ice Cream,4.6 • 18 mins,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad Kan East, 
Grameen Kulfi,4.7 • 16 mins,"Ice Cream, Desserts",Kandivali East, EVERY ITEM @ ₹99
Kareem's,4.1 • 32 mins,"North Indian, Biryani, Chinese, Indian, Desserts, Mughlai, Tandoor, Lucknowi",Kandivali East, 50% OFF UPTO ₹100
McDonald's Gourmet Burger Collection,4.3 • 26 mins,"Burgers, Beverages, Cafe, Desserts",Malad Kan East, 
Suchali's Artisan Bakehouse,4.6 • 18 mins,"Beverages, Bakery",Malad Kan East, 20% OFF UPTO ₹50
LeanCrust Pizza- ThinCrust Experts,4.4 • 17-27 mins,"Pizzas, Italian, Desserts",Kandivali East, 50% OFF UPTO ₹100
Pure Veg Meals by Lunchbox,4.2 • 24 mins,"Biryani, North Indian, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80
The J,4.5 • 18 mins,"American, Snacks, Desserts",Malad Kan East, 
Smokin' Joe's,3.9 • 34 mins,"Italian, Pizzas",Kandivali East, 20% OFF UPTO ₹50
BOOM Sandwich - Sub of India,4.3 • 13-23 mins,"Snacks, Indian, Desserts",Kandivali East, 50% OFF UPTO ₹100
7th Heaven,3.8 • 16 mins,"Bakery, Desserts",Malad Kan East, 50% OFF UPTO ₹100
Itminaan Matka Biryani - Slow Cooked,4 • 22-32 mins,"Biryani, North Indian, Mughlai",Kandivali East, 60% OFF UPTO ₹120
NOTO - Ice Creams & Desserts,4.6 • 15 mins,Ice Cream,Kandivali East, ₹175 OFF ABOVE ₹799
Moussestruck,4.7 • 25 mins,"Ice Cream, Desserts, Sweets",Kandivali West, ₹100 OFF ABOVE ₹499
Surbhi Sweets And Snacks,4.2 • 24 mins,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East, ₹125 OFF ABOVE ₹599
Tiffin Box,27 mins,"Biryani, Beverages, North Eastern",Malad Kan East, 30% OFF UPTO ₹75
Waffle Cart,3.8 • 30 mins,"Desserts, Snacks, Thalis",Borivali, 
Madno - House of Sundaes,4.1 • 26 mins,"Ice Cream, Beverages",Thakur Village, 40% OFF UPTO ₹80
Gourmet Ice Cream Cakes by Baskin Robbins,4.3 • 20 mins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",Malad Kan East, 20% OFF UPTO ₹50
Jumboking Indian Burger,4.5 • 25 mins,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East, ₹175 OFF ABOVE ₹449
Khana Khazana,4.6 • 32 mins,"Indian, Chinese",Borivali, 
Tea Post,4.1 • 36 mins,Beverages,Borivali West, ₹175 OFF ABOVE ₹449
Pizza Hut,4.2 • 28 mins,Pizzas,Kandivali East, ITEMS AT ₹179
Momo Mia,2.3 • 26 mins,"Chinese, Desserts, Pizzas, Burgers, Pastas, Italian",Dheeraj Regancy, 50% OFF UPTO ₹100
Hola Pasta - Fresh Gourmet Pasta,3.4 • 16-26 mins,"Pastas, Italian, Desserts, Beverages",Kandivali East, ITEMS AT ₹149
Libon The Cake Expert,4.2 • 28 mins,Desserts,Borivali, ₹175 OFF ABOVE ₹449
New York Burrito Company,4.2 • 32 mins,"Mexican, American, Continental, Snacks, Beverages, Desserts",Kandivali West, 
The Fresh Press,4.2 • 39 mins,"Beverages, Juices",Malad Kan East, 60% OFF UPTO ₹120
Dairy Don,3.9 • 26 mins,"Beverages, Desserts",Borivali, 10% OFF ABOVE ₹600
McCafe by McDonald's,3 • 30 mins,"American, Beverages, Desserts",Kandivali East, 
Bhagwati Pav Bhaji,4.1 • 36 mins,"Street Food, Chinese, South Indian, North Indian",Kandivali West, ₹125 OFF ABOVE ₹499
Goragandhi Juice Corner & Veg World,4.6 • 34 mins,"North Indian, South Indian, Chinese, Indian, Chaat, Fast Food, Maharashtrian, Pizzas, Juices, Mexican, Pastas",Borivali West, 
The Waffle Co.,4.4 • 34 mins,"Desserts, Waffle",Kandivali West, 
99 Pancakes,4.6 • 32 mins,"Desserts, Beverages",Kandivali West, ₹175 OFF ABOVE ₹449
IDC Kitchen,4.3 • 36 mins,South Indian,Malad Kan East, ₹125 OFF ABOVE ₹999
Burger Hub,34 mins,"Burgers, Snacks, Chinese",Borivali, 
Delights by INOX,4.6 • 18 mins,Snacks,Kandivali East, 60% OFF UPTO ₹120
GLOBO Ice Creams Of The World,4.4 • 7-17 mins,"Ice Cream, Desserts, Bakery",Kandivali East, 50% OFF UPTO ₹100
Go Zero - Guilt Free Ice Creams,4.2 • 14 mins,"Ice Cream, Desserts",Kandivali East, 50% OFF UPTO ₹100
The Momo Factory,4.1 • 27 mins,"Tibetan, Chinese, Asian",Kandivali East, ₹175 OFF ABOVE ₹449
Food Adda,4 • 28 mins,"Burgers, Pizzas, Fast Food, Beverages",Borivali East, 50% OFF UPTO ₹100
"Bhatti Chicken - Grilled, NOT Fried!",4.2 • 24-34 mins,"North Indian, Snacks, Fast Food, Tandoor",Kandivali East, 50% OFF UPTO ₹100
Mehfil by Behrouz,4.4 • 29 mins,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80
Tewari Brothers,4.6 • 33 mins,"Snacks, Sweets, North Indian, Beverages, Desserts",Borivali, 
World Of Paratha,4.4 • 33 mins,"North Indian, Beverages",Borivali, 
Bhagwati Veg Restaurant,4.3 • 35 mins,"North Indian, Chinese, Biryani, South Indian",Borivali West, ₹125 OFF ABOVE ₹499
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8 • 15 mins,"Desserts, Ice Cream, Ice Cream Cakes",Thakur Village, 50% OFF UPTO ₹100
Anand Sweets & Savouries,4.7 • 40 mins,"Sweets, Desserts",Jog Gor East, ₹100 OFF ABOVE ₹499
Myfroyoland - Premium Frozen Yogurt,4.4 • 28 mins,"Desserts, Ice Cream, Healthy Food",Borivali West, 10% OFF ABOVE ₹1500
Sweetish House Mafia,4.2 • 30 mins,Desserts,Kandivali West, 30% OFF UPTO ₹150
Natural Ice Cream,4.7 • 21 mins,"Ice Cream, Desserts",Avenue Hotel, 20% OFF 
Chinese Wok,4.2 • 21 mins,"Chinese, Asian, Tibetan, Desserts",Kandivali East, 50% OFF UPTO ₹100
The Belgian Waffle Co.,4.5 • 27 mins,"Waffle, Desserts, Ice Cream",Kandivali East, 20% OFF UPTO ₹50
Ghar Ki Rasoi,32 mins,North Indian,Malad Kan East, 
Mamledar Misal,4 • 27 mins,"Maharashtrian, Street Food",Borivali West, ₹100 OFF ABOVE ₹749
Chaayos Chai+Snacks=Relax,4.5 • 18 mins,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",kandivali east, 60% OFF UPTO ₹120
The Good Bowl,4.3 • 24 mins,"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages",Kandivali East, ₹175 OFF ABOVE ₹799
BOX8 - Desi Meals,4.4 • 11-21 mins,"North Indian, Biryani, Thalis, Home Food",Kandivali East, 50% OFF UPTO ₹100
Behrouz Biryani,4.2 • 22 mins,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East, 60% OFF UPTO ₹110
"Faasos - Wraps, Rolls & Shawarma",4.1 • 26 mins,"Kebabs, Fast Food, Snacks, North Indian, American, Healthy Food, Desserts, Beverages",Kandivali East, 60% OFF UPTO ₹110
LunchBox - Meals and Thalis,4.3 • 26 mins,"Biryani, North Indian, Punjabi, Healthy Food, Desserts, Beverages",Kandivali East, ITEMS AT ₹159
Subway,4 • 26 mins,"Salads, Snacks, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80
Mohanlal S Mithaiwala,4.9 • 33 mins,"Sweets, Desserts, Snacks",Borivali, 
Parsi Dairy Farm,4.6 • 31 mins,Indian,Borivali, 
Adarsh,4.5 • 31 mins,"Snacks, Sweets, Bakery",Borivali, 10% OFF ABOVE ₹1900
Mama Mia! - Italian Ice Creams & Cakes,4.4 • 27 mins,"Bakery, Desserts, Ice Cream",Borivali, ₹175 OFF ABOVE ₹599
Trishiv Chinese Corner,4.1 • 34 mins,"Chinese, Fast Food, Street Food, North Indian",Borivali, 10% OFF ABOVE ₹1000
Baskin Robbins - Ice Cream Desserts,4.6 • 13 mins,Desserts,Kandivali East, 30% OFF UPTO ₹75
Wagh Bakri Tea Lounge,3.5 • 39 mins,"Beverages, Snacks, Fast Food, Street Food, Desserts",Borivali, 20% OFF ABOVE ₹700
Chitale Xpress,4.7 • 28 mins,"Sweets, Desserts",Borivali, 
Cheesecakes By CakeZone,4.4 • 33 mins,"Bakery, Desserts, Sweets, Beverages, Ice Cream, Juices, Bengali",L T Road Junction, ₹175 OFF ABOVE ₹699
Birdy's Cake Shop,4.1 • 35 mins,"Desserts, Bakery",Malad East, 
Jeden-The Cake Expert,4.3 • 31 mins,"Desserts, Bakery, Sweets",Kandivali West, ₹125 OFF ABOVE ₹599
Iceberg Organic Icecreams,36 mins,Ice Cream,Borivali, ₹150 OFF ABOVE ₹299
Oven Story Pizza - Standout Toppings,4.4 • 23-32 mins,"Pizzas, Pastas, Italian, Desserts, Beverages",Kandivali East, ₹125 OFF ABOVE ₹899
Ovenfresh Cakes And Desserts,4.1 • 34 mins,"Bakery, Desserts, Beverages, Ice Cream, Sweets, Juices, Bengali, Pizzas",Borivali, ₹125 OFF ABOVE ₹399
