Country,Restaurant Name,Sentiment,Review Title,Review Date,Review
France,The Frog at Bercy Village,Negative,Rude manager,May 2024 •,The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.
France,The Frog at Bercy Village,Negative,A big disappointment,Feb 2024 •,"I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price."
France,The Frog at Bercy Village,Negative,Pretty Place with Bland Food,Nov 2023 •,"This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food."
France,The Frog at Bercy Village,Negative,Great service and wine but inedible food,Mar 2023 •,"Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake."
France,The Frog at Bercy Village,Negative,Avoid- Worst meal in Rome - possibly ever,Nov 2022 •,"From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid."
France,The Frog at Bercy Village,Negative,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!!",Jul 2021 •,"We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!"
France,The Frog at Bercy Village,Negative,We tired the tasting menu - avoid,Jan 2020 •,"We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it"
France,The Frog at Bercy Village,Negative,Huge Disappointment,Oct 2019 •,"This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere."
France,The Frog at Bercy Village,Negative,Expensive mediocre food and service,Jun 2019 •,"We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome"
France,The Frog at Bercy Village,Negative,all around awful,May 2019 •,"My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse."
France,The Frog at Bercy Village,Negative,A big disappointment due to poor service and arrogant attitudes,Mar 2019 •,"Rome

A big disappointment--not service-oriented and arrogant.

I had high expectations for this restaurant, but when we got there, it turned out that they had put our party of 6 at a very large table for 8 completely off on its own at the back of the restaurant. The table was not conducive to good conversation and very awkward. When we asked for another table, our concerns were dismissed. When I wrote to the restaurant afterwards to complain about the situation, I got a very dismissive letter back from the owner, essentially stating: ""other people love this table; I guess you didn't."" No apology was offered.   Particularly given the price, I would not recommend this restaurant to others based on the poor treatment we received particularly given the many other wonderful alternatives in Rome.  If you do choose to go, I would specify where you would like to sit."
France,The Frog at Bercy Village,Negative,Perfectly organized absolute scam!,Dec 2018 •,The place offers really low quality overpriced food wrapped in a good environment with pretentious service well placed to create the atmosphere of a serious and high end restaurant. Packed with tourists should have given me a hint from the very beginning . Specializing in truffles allows you to have a segment peel of real truffle on your plate amongst many many fake ones. Fillet 47 euros was entrecôte and not a good one at that as well. Stay away at all costs !!!
France,The Frog at Bercy Village,Negative,Disappointing,Sept 2018 •,"With so many complimentary reviews I was expecting so much more. The service so praised in other reviews was robotic and slow....Very slow. Our reservation was for 21:00. Our table wasn't ready, so we were invited to have a glass of prosecco in the bar. This was fine but we waited half an hour for the table. Once we got to the table we waited 20 minutes or so to have our order taken, although to be fair we were offered another glass of prosecco. We eventually got our amuse bouche at around 22:00 at least an hour after we arrived. 

We ordered the truffle set menu. The food ranged between being average and quite good, never really good. At odds with other reviews a few words of warning. The truffle menu is a poor choice. Truffle is delicious but a whole meal with the same flavour doesn't work. Second unless you are very hungry avoid the menus. The volume of food is enormous. We left quite a lot of the anti pasti and especially the pasta course. 

We eventually left around midnight. They clearly book more covers than they can efficiently deal with. 

My summary is...quantity rather than quality and slow robotic emotionless service probably caused by over booking."
France,The Frog at Bercy Village,Negative,What a disaster...,Oct 2018 •,"I have to say that I was disappointed in my visit to Ad Hoc. While the location and decor were great I found the service to be terrible, in fact the service made the food a disappointment as well. 

It started with the 40 minute wait in between sitting down and a staff member our order for food or drinks. Our waitress seemed disappointed we didn't want to do the tasting menu, but we were already disappointed with the way the meal had started. It took another 30 minutes for our first glass of wine and burrata appetizer to arrive at the table. 

The burrata with the upgrade of white truffle. This dish was around $50, and when it arrived a small fly landed on it... No big deal it happens. When the waitress and I tried to get it off it was killed on the cheese. She asked if we wanted a new one... um, of course I said. Now after waiting 30 minutes for the dish to arrive at our table a ""new one"" was brought out in less than 5 minutes. I'm not sure that the 2nd burrata was new and that they threw away the original dish, given how expensive white truffles are, but it should have been. 

The 3 way carbonara came out practically cold too. No one ever came to see if we wanted another drink until the end of our meal. When we ordered wine glasses were just brought over a glass, no wine was ever presented to the table as with other restaurants in this price range. Some staff apologized at one point saying the service issues were because they were busy, I'm not sure how that was my problem. They hold themselves out as a fine dining experience and at least mine was far, far from that. I would tell you to ignore the inflated reviews and look for something better."
France,The Frog at Bercy Village,Negative,Great wines but average food,Jul 2018 •,"We both ate the truffle tasting menu with wines. The appetizer where good but the first and second course where nothing special at all. A decent meal with some truffle for a BIG price tag. The dessert where fine and the wines was really good.
But for this price everything should be GREAT."
France,The Frog at Bercy Village,Negative,Utterly inept in every way,May 2018 •,"And pretentious to go along with it.  What can you say about a restaurant that provides separate wine lists for red and white that look like copies of War and Peace?  Except that there are two wines per page, and they aren’t listed by country of origin, or varietal type – they’re listed by what someone (God knows who) thinks is the type.  Who would have guessed a Chianti Classico is a “full bodied red”?  Certainly no one who knows wine.  In any normal restaurant this wine list would run maybe 6 or 7 pages at the most.  Apparently wines by the glass are a state secret, you have to ask if they have them.   

Rubbery, overcooked octopus, brittle fried pumpkin flowers, devoid of taste, topped with cold ricotta, a filet that could only be described as a low-end USDA Choice from a chain steakhouse in the US, also rubbery and tasteless.  At least the fish was cooked properly, but was lying on a hockey puck of warm wilted spinach.

Appallingly bad service, one hour to get the appetizer.  They seem to be totally confused about everything.    And 160 euros for the experience.  There is a traditional Italian restaurant about two doors up that was packed.  Ad Hoc wasn’t.  I can see why."
France,The Frog at Bercy Village,Negative,Emperors New Clothes,May 2018 •,"Nice atmosphere and the staff were attentive but after that not a lot more to say. I hope you have heard the story of ‘The Emperors New Clothes’. Everyone saying how great everything is but in truth the food is very mediocre. Perhaps we went on a wrong night. Who knows?

The food was bland and the wine was very average. The wine served was just a normal run of the mill, nothing special. Have tasted a lot better for a lot less."
France,The Frog at Bercy Village,Negative,Too touristic,Feb 2018 •,"An ambitious restaurant in Rome’s downtown without a real soul; menù is a mixed of meat and fish but without a real specialization
Our impression is that the place is too touristic not a real gourmet high quality experience
Service appropriate"
France,The Frog at Bercy Village,Negative,Forget truffle Carbonara,May 2017 •,Truffle menu is nice to try but Carbonara was over cooked  and a bit messy to eat. Meat with  truffle could be softer. Desert not the best option. Service was ok and also the wine menu
France,The Frog at Bercy Village,Negative,One of the worst meals of my life,Feb 2017 •,"Service is fine, decor fine, but the food is extremely bad, almost inedible. Extremely disappointing. The wine list good, but that's it."
